,frame,timestamp,emotion,score,old_emotion,scene,emotion_shift
198,594,25.82608695652174,no_emotion,0.54,sad,3,False
199,597,25.956521739130437,no_emotion,0.74,neutral,3,False
200,600,26.08695652173913,no_emotion,0.62,neutral,3,False
201,603,26.217391304347824,no_emotion,0.61,neutral,3,False
202,606,26.347826086956523,no_emotion,0.51,sad,3,False
203,609,26.47826086956522,no_emotion,0.57,neutral,3,False
204,612,26.608695652173918,no_emotion,0.78,neutral,3,False
205,615,26.73913043478261,no_emotion,0.57,neutral,3,False
206,618,26.869565217391305,no_emotion,0.78,neutral,3,False
207,621,27.0,no_emotion,0.56,neutral,3,False
208,624,27.130434782608692,no_emotion,0.77,neutral,3,False
209,627,27.26086956521739,no_emotion,0.49,sad,3,False
210,630,27.39130434782609,no_emotion,0.48,neutral,3,False
211,633,27.52173913043478,no_emotion,0.68,sad,3,False
212,636,27.65217391304348,no_emotion,0.41,neutral,3,False
213,639,27.782608695652176,no_emotion,0.38,sad,3,False
214,642,27.91304347826087,no_emotion,0.46,neutral,3,False
215,645,28.043478260869566,no_emotion,0.28,sad,3,False
216,648,28.17391304347826,no_emotion,0.29,neutral,3,False
217,651,28.30434782608696,no_emotion,0.61,sad,3,False
218,654,28.43478260869565,no_emotion,0.45,sad,3,False
219,657,28.565217391304348,no_emotion,0.48,sad,4,False
220,660,28.695652173913043,no_emotion,0.39,sad,4,False
221,663,28.82608695652174,no_emotion,0.36,neutral,4,False
222,666,28.956521739130437,no_emotion,0.46,neutral,4,False
223,669,29.08695652173913,no_emotion,0.47,neutral,4,False
224,672,29.217391304347824,no_emotion,0.72,neutral,4,False
225,675,29.347826086956523,no_emotion,0.7,neutral,4,False
226,678,29.47826086956522,no_emotion,0.82,neutral,4,False
227,681,29.608695652173918,no_emotion,0.81,neutral,4,False
228,684,29.73913043478261,no_emotion,0.71,neutral,4,False
229,687,29.869565217391305,no_emotion,0.66,neutral,4,False
230,690,30.0,no_emotion,0.64,neutral,4,False
231,693,30.130434782608692,no_emotion,0.8,neutral,4,False
232,696,30.26086956521739,no_emotion,0.82,neutral,4,False
233,699,30.39130434782609,no_emotion,0.63,neutral,4,False
234,702,30.52173913043478,no_emotion,0.71,neutral,4,False
235,705,30.65217391304348,no_emotion,0.54,neutral,4,False
236,708,30.782608695652176,no_emotion,0.73,neutral,5,False
237,711,30.91304347826087,no_emotion,0.47,neutral,5,False
238,714,31.043478260869566,no_emotion,0.47,sad,5,False
239,717,31.17391304347826,no_emotion,0.48,neutral,5,False
240,720,31.30434782608696,no_emotion,0.49,neutral,5,False
241,723,31.43478260869565,no_emotion,0.6,neutral,5,False
242,726,31.565217391304348,no_emotion,0.5,sad,5,False
243,729,31.695652173913043,no_emotion,0.6,neutral,5,False
244,732,31.82608695652174,no_emotion,0.69,neutral,5,False
245,735,31.956521739130437,no_emotion,0.54,sad,5,False
246,738,32.08695652173913,no_emotion,0.0,,5,False
247,741,32.21739130434783,no_emotion,0.45,sad,5,False
248,744,32.34782608695652,no_emotion,0.51,sad,5,False
249,747,32.47826086956522,no_emotion,0.46,neutral,5,False
250,750,32.608695652173914,no_emotion,0.49,sad,5,False
251,753,32.73913043478261,no_emotion,0.82,neutral,5,False
252,756,32.869565217391305,no_emotion,0.91,neutral,5,False
253,759,33.0,no_emotion,0.87,neutral,5,False
254,762,33.130434782608695,no_emotion,0.79,neutral,5,False
255,765,33.26086956521739,no_emotion,0.89,neutral,5,False
256,768,33.391304347826086,no_emotion,0.68,neutral,5,False
257,771,33.52173913043478,no_emotion,0.58,neutral,5,False
258,774,33.65217391304348,no_emotion,0.6,neutral,5,False
259,777,33.78260869565217,no_emotion,0.49,neutral,5,False
260,780,33.91304347826087,no_emotion,0.48,neutral,5,False
261,783,34.04347826086956,no_emotion,0.55,sad,5,False
262,786,34.17391304347826,no_emotion,0.47,angry,5,False
263,789,34.30434782608695,no_emotion,0.41,angry,5,False
264,792,34.43478260869565,no_emotion,0.31,happy,6,False
265,795,34.56521739130435,no_emotion,0.0,,6,False
266,798,34.69565217391305,no_emotion,0.0,,6,False
267,801,34.82608695652174,no_emotion,0.0,,6,False
268,804,34.95652173913044,no_emotion,0.0,,6,False
269,807,35.08695652173913,no_emotion,0.0,,6,False
270,810,35.21739130434783,no_emotion,0.0,,6,False
271,813,35.34782608695652,no_emotion,0.0,,6,False
272,816,35.47826086956522,no_emotion,0.0,,6,False
273,819,35.608695652173914,no_emotion,0.0,,6,False
274,822,35.73913043478261,no_emotion,0.0,,6,False
275,825,35.869565217391305,no_emotion,0.0,,6,False
276,828,36.0,no_emotion,0.0,,6,False
277,831,36.130434782608695,no_emotion,0.0,,6,False
278,834,36.26086956521739,no_emotion,0.0,,6,False
279,837,36.391304347826086,no_emotion,0.0,,6,False
280,840,36.52173913043478,no_emotion,0.0,,6,False
281,843,36.65217391304348,no_emotion,0.0,,6,False
282,846,36.78260869565217,no_emotion,0.0,,6,False
283,849,36.91304347826087,no_emotion,0.0,,6,False
284,852,37.04347826086956,no_emotion,0.0,,6,False
285,855,37.17391304347826,no_emotion,0.0,,6,False
286,858,37.30434782608695,no_emotion,0.0,,6,False
287,861,37.43478260869565,no_emotion,0.0,,6,False
288,864,37.56521739130435,no_emotion,0.0,,6,False
289,867,37.69565217391305,no_emotion,0.0,,6,False
290,870,37.82608695652174,no_emotion,0.0,,6,False
291,873,37.95652173913044,no_emotion,0.0,,6,False
292,876,38.08695652173913,no_emotion,0.0,,6,False
293,879,38.21739130434783,no_emotion,0.0,,6,False
294,882,38.34782608695652,no_emotion,0.0,,6,False
295,885,38.47826086956522,no_emotion,0.0,,6,False
296,888,38.60869565217392,no_emotion,0.0,,6,False
297,891,38.73913043478261,no_emotion,0.0,,6,False
298,894,38.869565217391305,no_emotion,0.0,,7,False
299,897,39.0,no_emotion,0.3,sad,7,False
300,900,39.130434782608695,no_emotion,0.53,neutral,7,False
301,903,39.26086956521739,no_emotion,0.54,neutral,7,False
302,906,39.391304347826086,no_emotion,0.66,neutral,7,False
303,909,39.52173913043478,no_emotion,0.73,neutral,7,False
304,912,39.65217391304348,no_emotion,0.7,neutral,7,False
305,915,39.78260869565217,no_emotion,0.84,neutral,7,False
306,918,39.91304347826087,no_emotion,0.77,neutral,7,False
307,921,40.04347826086956,no_emotion,0.74,neutral,7,False
308,924,40.17391304347826,no_emotion,0.85,neutral,7,False
309,927,40.30434782608695,no_emotion,0.74,neutral,7,False
310,930,40.43478260869565,no_emotion,0.83,neutral,7,False
311,933,40.56521739130435,no_emotion,0.86,neutral,7,False
312,936,40.69565217391305,no_emotion,0.63,neutral,7,False
313,939,40.82608695652174,no_emotion,0.83,neutral,7,False
314,942,40.95652173913044,no_emotion,0.88,neutral,7,False
315,945,41.08695652173913,no_emotion,0.86,neutral,7,False
316,948,41.21739130434783,no_emotion,0.83,neutral,7,False
317,951,41.34782608695652,no_emotion,0.89,neutral,7,False
318,954,41.47826086956522,no_emotion,0.83,neutral,7,False
319,957,41.60869565217392,no_emotion,0.88,neutral,7,False
320,960,41.73913043478261,no_emotion,0.86,neutral,7,False
321,963,41.869565217391305,no_emotion,0.84,neutral,7,False
322,966,42.0,no_emotion,0.86,neutral,7,False
323,969,42.130434782608695,no_emotion,0.78,neutral,7,False
324,972,42.26086956521739,no_emotion,0.79,neutral,7,False
325,975,42.391304347826086,no_emotion,0.85,neutral,7,False
326,978,42.52173913043478,no_emotion,0.82,neutral,7,False
327,981,42.65217391304348,no_emotion,0.9,neutral,7,False
328,984,42.78260869565217,no_emotion,0.89,neutral,7,False
329,987,42.91304347826087,no_emotion,0.92,neutral,7,False
330,990,43.04347826086956,no_emotion,0.94,neutral,7,False
331,993,43.17391304347826,no_emotion,0.92,neutral,7,False
332,996,43.30434782608695,no_emotion,0.91,neutral,7,False
333,999,43.43478260869565,no_emotion,0.93,neutral,7,False
334,1002,43.56521739130435,no_emotion,0.95,neutral,7,False
335,1005,43.69565217391305,no_emotion,0.88,neutral,7,False
336,1008,43.82608695652174,no_emotion,0.94,neutral,7,False
337,1011,43.95652173913044,no_emotion,0.78,neutral,7,False
338,1014,44.08695652173913,no_emotion,0.81,neutral,7,False
339,1017,44.21739130434783,no_emotion,0.89,neutral,7,False
340,1020,44.34782608695652,no_emotion,0.89,neutral,7,False
341,1023,44.47826086956522,no_emotion,0.9,neutral,7,False
342,1026,44.60869565217392,no_emotion,0.92,neutral,7,False
343,1029,44.73913043478261,no_emotion,0.93,neutral,7,False
344,1032,44.869565217391305,no_emotion,0.93,neutral,7,False
345,1035,45.0,no_emotion,0.93,neutral,7,False
346,1038,45.130434782608695,no_emotion,0.95,neutral,7,False
347,1041,45.26086956521739,no_emotion,0.92,neutral,7,False
348,1044,45.391304347826086,neutral,0.96,neutral,7,True
349,1047,45.52173913043478,no_emotion,0.92,neutral,7,False
350,1050,45.65217391304348,no_emotion,0.95,neutral,7,False
351,1053,45.78260869565217,no_emotion,0.95,neutral,7,False
352,1056,45.91304347826087,no_emotion,0.94,neutral,7,False
353,1059,46.04347826086956,no_emotion,0.95,neutral,7,False
354,1062,46.17391304347826,no_emotion,0.92,neutral,7,False
355,1065,46.30434782608695,no_emotion,0.88,neutral,7,False
356,1068,46.43478260869565,no_emotion,0.92,neutral,7,False
357,1071,46.56521739130435,no_emotion,0.9,neutral,7,False
358,1074,46.69565217391305,no_emotion,0.9,neutral,7,False
359,1077,46.82608695652174,no_emotion,0.86,neutral,7,False
360,1080,46.95652173913044,no_emotion,0.51,neutral,7,False
361,1083,47.08695652173913,no_emotion,0.71,neutral,7,False
362,1086,47.21739130434783,no_emotion,0.57,neutral,7,False
363,1089,47.34782608695652,no_emotion,0.48,neutral,7,False
364,1092,47.47826086956522,no_emotion,0.65,neutral,8,False
365,1095,47.60869565217392,no_emotion,0.6,neutral,8,False
366,1098,47.73913043478261,no_emotion,0.61,neutral,8,False
367,1101,47.869565217391305,no_emotion,0.49,neutral,8,False
368,1104,48.0,no_emotion,0.37,neutral,8,False
369,1107,48.130434782608695,no_emotion,0.41,sad,8,False
370,1110,48.26086956521739,no_emotion,0.43,neutral,8,False
371,1113,48.391304347826086,no_emotion,0.45,neutral,8,False
372,1116,48.52173913043478,no_emotion,0.43,neutral,8,False
373,1119,48.65217391304348,no_emotion,0.51,neutral,8,False
374,1122,48.78260869565217,no_emotion,0.79,neutral,8,False
375,1125,48.91304347826087,no_emotion,0.79,neutral,8,False
376,1128,49.04347826086956,no_emotion,0.65,neutral,8,False
377,1131,49.17391304347826,no_emotion,0.59,neutral,8,False
378,1134,49.30434782608695,no_emotion,0.73,neutral,8,False
379,1137,49.43478260869565,no_emotion,0.6,neutral,8,False
380,1140,49.56521739130435,no_emotion,0.54,neutral,8,False
381,1143,49.69565217391305,no_emotion,0.39,neutral,8,False
382,1146,49.82608695652174,no_emotion,0.44,sad,8,False
383,1149,49.95652173913044,no_emotion,0.53,sad,8,False
384,1152,50.08695652173913,no_emotion,0.42,sad,8,False
385,1155,50.21739130434783,no_emotion,0.48,sad,8,False
386,1158,50.34782608695652,no_emotion,0.41,angry,8,False
387,1161,50.47826086956522,no_emotion,0.41,sad,8,False
388,1164,50.60869565217392,no_emotion,0.84,neutral,9,False
389,1167,50.73913043478261,no_emotion,0.91,neutral,9,False
390,1170,50.869565217391305,no_emotion,0.84,neutral,9,False
391,1173,51.0,no_emotion,0.49,sad,9,False
392,1176,51.130434782608695,no_emotion,0.55,neutral,9,False
393,1179,51.26086956521739,no_emotion,0.46,neutral,9,False
394,1182,51.391304347826086,no_emotion,0.57,neutral,9,False
395,1185,51.52173913043478,no_emotion,0.51,neutral,9,False
396,1188,51.65217391304348,no_emotion,0.5,neutral,9,False
397,1191,51.78260869565217,no_emotion,0.53,neutral,9,False
398,1194,51.91304347826087,no_emotion,0.48,sad,9,False
399,1197,52.04347826086956,no_emotion,0.5,neutral,9,False
400,1200,52.17391304347826,no_emotion,0.54,neutral,9,False
401,1203,52.30434782608695,no_emotion,0.5,neutral,9,False
402,1206,52.43478260869565,no_emotion,0.59,neutral,9,False
403,1209,52.56521739130435,no_emotion,0.51,sad,9,False
404,1212,52.69565217391305,no_emotion,0.63,neutral,9,False
405,1215,52.82608695652174,no_emotion,0.59,neutral,9,False
406,1218,52.95652173913044,no_emotion,0.62,neutral,9,False
407,1221,53.08695652173913,no_emotion,0.55,neutral,9,False
408,1224,53.21739130434783,no_emotion,0.58,neutral,9,False
409,1227,53.34782608695652,no_emotion,0.66,neutral,9,False
410,1230,53.47826086956522,no_emotion,0.66,neutral,9,False
411,1233,53.60869565217392,no_emotion,0.64,neutral,9,False
412,1236,53.73913043478261,no_emotion,0.54,neutral,9,False
413,1239,53.869565217391305,no_emotion,0.56,neutral,9,False
414,1242,54.0,no_emotion,0.55,sad,9,False
415,1245,54.130434782608695,no_emotion,0.59,neutral,9,False
416,1248,54.26086956521739,no_emotion,0.59,neutral,9,False
417,1251,54.391304347826086,no_emotion,0.64,neutral,9,False
418,1254,54.52173913043478,no_emotion,0.71,neutral,9,False
419,1257,54.65217391304348,no_emotion,0.46,neutral,9,False
420,1260,54.78260869565217,no_emotion,0.66,neutral,9,False
421,1263,54.91304347826087,no_emotion,0.76,neutral,9,False
422,1266,55.04347826086956,no_emotion,0.64,neutral,9,False
423,1269,55.17391304347826,no_emotion,0.75,neutral,9,False
424,1272,55.30434782608695,no_emotion,0.7,neutral,9,False
425,1275,55.43478260869565,no_emotion,0.51,neutral,9,False
426,1278,55.56521739130435,no_emotion,0.72,neutral,9,False
427,1281,55.69565217391305,no_emotion,0.69,neutral,9,False
